path,HIG,EXO,TOP,SUS,SMP,EXO,BPH,B2G,HIN,TRK,JME,MUO,EGM,TAU,BTV,PF,AlCa,DPG,TSG,Owners,online,validation,Rate,Pure Rate,PS,stream,dataset,L1 seed
HLT_BTagMu_AK8DiJet170_Mu5_v,,,,,,,,,,,,,,,done,,,,,1,yes,,18.33,7.74,1,PhysicsHadronsTaus,BTagMu,L1_Mu3_Jet120er2p5_dR_Max0p8
HLT_BTagMu_AK4Jet300_Mu5_v,,,,,,,,,,,,,,,done,,,,,1,yes,,9.37,0,1,PhysicsHadronsTaus,BTagMu,L1_SingleJet200
HLT_BTagMu_AK4DiJet70_Mu5_v,,,,,,,,,,,,,,,done,,,,,1,yes,,23.22,20.78,1,PhysicsHadronsTaus,BTagMu,L1_Mu3_Jet60er2p5_dR_Max0p4
HLT_BTagMu_AK4DiJet40_Mu5_v,,,,,,,,,,,,,,,done,,,,,1,yes,,19.15,17.92,1,PhysicsHadronsTaus,BTagMu,L1_Mu3_Jet35er2p5_dR_Max0p4
HLT_BTagMu_AK4DiJet20_Mu5_v,,,,,,,,,,,,,,,done,,,,,1,yes,,19.55,18.74,4,PhysicsHadronsTaus,BTagMu,L1_Mu3_Jet16er2p5_dR_Max0p4
HLT_BTagMu_AK4DiJet170_Mu5_v,,,,,,,,,,,,,,,done,,,,,1,yes,,17.52,6.93,1,PhysicsHadronsTaus,BTagMu,L1_Mu3_Jet120er2p5_dR_Max0p4
HLT_BTagMu_AK4DiJet110_Mu5_v,,,,,,,,,,,,,,,done,,,,,1,yes,,17.52,14.26,1,PhysicsHadronsTaus,BTagMu,L1_Mu3_Jet80er2p5_dR_Max0p4
HLT_L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142_v,,,,,,,,,,,,,,,,,todo,,,1,yes,,1.63,1.22,30,PhysicsCommissioning,Commissioning,L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142
HLT_IsoTrackHE_v,,,,,,,,,,,,,,,,,,HCAL,,1,yes,,12.63,9.37,1,PhysicsCommissioning,Commissioning,L1_SingleJet60 OR L1_SingleJet200 OR L1_DoubleJet120er2p5
HLT_IsoTrackHB_v,,,,,,,,,,,,,,,,,,HCAL,,1,yes,,18.74,16.29,1,PhysicsCommissioning,Commissioning,L1_SingleJet60 OR L1_SingleJet200 OR L1_DoubleJet120er2p5
HLT_L1SingleMuCosmics_v,,,,,,,,,,,,,,,,,,,cosmics,1,yes,,0,0,1,PhysicsCommissioning,Cosmics,L1_SingleMuCosmics
HLT_Mu6HT240_DisplacedDijet40_Inclusive1PtrkShortSig5_DisplacedLoose_v,,,,,,todo,,,,,,,,,,,,,,1,yes,,11.81,0,1,PhysicsHadronsTaus,DisplacedJet,L1_Mu6_HTT240er OR L1_Mu6_HTT250er
HLT_Mu6HT240_DisplacedDijet40_Inclusive0PtrkShortSig5_v,,,,,,todo,,,,,,,,,,,,,,1,yes,,13.85,0,1,PhysicsHadronsTaus,DisplacedJet,L1_Mu6_HTT240er OR L1_Mu6_HTT250er
HLT_Mu6HT240_DisplacedDijet35_Inclusive1PtrkShortSig5_DisplacedLoose_v,,,,,,todo,,,,,,,,,,,,,,1,yes,,15.07,0,1,PhysicsHadronsTaus,DisplacedJet,L1_Mu6_HTT240er OR L1_Mu6_HTT250er
HLT_Mu6HT240_DisplacedDijet35_Inclusive0PtrkShortSig5_v,,,,,,todo,,,,,,,,,,,,,,1,yes,,18.33,0,1,PhysicsHadronsTaus,DisplacedJet,L1_Mu6_HTT240er OR L1_Mu6_HTT250er
HLT_Mu6HT240_DisplacedDijet30_Inclusive1PtrkShortSig5_DisplacedLoose_v,,,,,,todo,,,,,,,,,,,,,,1,yes,,16.29,0.81,1,PhysicsHadronsTaus,DisplacedJet,L1_Mu6_HTT240er OR L1_Mu6_HTT250er
HLT_Mu6HT240_DisplacedDijet30_Inclusive0PtrkShortSig5_v,,,,,,todo,,,,,,,,,,,,,,1,yes,,29.74,9.78,1,PhysicsHadronsTaus,DisplacedJet,L1_Mu6_HTT240er OR L1_Mu6_HTT250er
HLT_L1Mu6HT240_v,,,,,,todo,,,,,,,,,,,,,,1,yes,,1.22,1.22,1000,PhysicsHadronsTaus,DisplacedJet,L1_Mu6_HTT240er OR L1_Mu6_HTT250er
HLT_L1MET_DTClusterNoMB1S50_v,,,,,,todo,,,,,,,,,,,,,,1,yes,,0,0,1,PhysicsHadronsTaus,DisplacedJet,L1_ETMHF100 OR L1_ETMHF110 OR L1_ETM150 OR L1_ETMHF120 OR L1_ETMHF150
HLT_L1MET_DTCluster50_v,,,,,,todo,,,,,,,,,,,,,,1,yes,,0,0,100,PhysicsHadronsTaus,DisplacedJet,L1_ETMHF100 OR L1_ETMHF110 OR L1_ETM150 OR L1_ETMHF120 OR L1_ETMHF150
HLT_L1CSCShower_DTCluster75_v,,,,,,todo,,,,,,,,,,,,,,1,yes,,0,0,1,PhysicsHadronsTaus,DisplacedJet,L1_SingleMuShower_Nominal OR L1_SingleMuShower_Tight
HLT_L1CSCShower_DTCluster50_v,,,,,,todo,,,,,,,,,,,,,,1,yes,,0,0,1,PhysicsHadronsTaus,DisplacedJet,L1_SingleMuShower_Nominal OR L1_SingleMuShower_Tight
HLT_HT650_DisplacedDijet60_Inclusive_v,,todo,,,,todo,,,,,,,,,,,,,,2,yes,,2.44,0.81,1,PhysicsHadronsTaus,DisplacedJet,L1_HTT360er OR L1_ETT2000
HLT_HT550_DisplacedDijet60_Inclusive_v,,todo,,,,todo,,,,,,,,,,,,,,2,yes,,0,0,16,PhysicsHadronsTaus,DisplacedJet,L1_HTT360er OR L1_ETT2000
HLT_HT500_DisplacedDijet40_DisplacedTrack_v,,,,,,todo,,,,,,,,,,,,,,1,yes,,2.85,0,1,PhysicsHadronsTaus,DisplacedJet,L1_HTT320er OR L1_HTT360er OR L1_ETT2000
HLT_HT430_DisplacedDijet60_DisplacedTrack_v,,todo,,,,todo,,,,,,,,,,,,,,2,yes,,2.85,0,1,PhysicsHadronsTaus,DisplacedJet,L1_HTT360er OR L1_ETT2000
HLT_HT430_DisplacedDijet40_Inclusive1PtrkShortSig5_v,,,,,,todo,,,,,,,,,,,,,,1,yes,,11,0,1,PhysicsHadronsTaus,DisplacedJet,L1_HTT360er OR L1_ETT2000
HLT_HT430_DisplacedDijet40_DisplacedTrack_v,,todo,,,,todo,,,,,,,,,,,,,,2,yes,,3.26,0,1,PhysicsHadronsTaus,DisplacedJet,L1_HTT360er OR L1_ETT2000
HLT_HT430_DisplacedDijet35_Inclusive1PtrkShortSig5_v,,,,,,todo,,,,,,,,,,,,,,1,yes,,14.26,0,1,PhysicsHadronsTaus,DisplacedJet,L1_HTT360er OR L1_ETT2000
HLT_HT430_DisplacedDijet30_Inclusive1PtrkShortSig5_v,,,,,,todo,,,,,,,,,,,,,,1,yes,,18.33,3.26,1,PhysicsHadronsTaus,DisplacedJet,L1_HTT360er OR L1_ETT2000
HLT_HT430_DelayedJet40_SingleDelay2nsInclusive_v,,,,,,todo,,,,,,,,,,,,,,1,yes,,0,0,1,PhysicsHadronsTaus,DisplacedJet,L1_HTT360er OR L1_ETT2000
HLT_HT430_DelayedJet40_SingleDelay1nsTrackless_v,,,,,,todo,,,,,,,,,,,,,,1,yes,,0.81,0.41,1,PhysicsHadronsTaus,DisplacedJet,L1_HTT360er OR L1_ETT2000
HLT_HT430_DelayedJet40_DoubleDelay1nsInclusive_v,,,,,,todo,,,,,,,,,,,,,,1,yes,,0,0,1,PhysicsHadronsTaus,DisplacedJet,L1_HTT360er OR L1_ETT2000
HLT_HT430_DelayedJet40_DoubleDelay0p5nsTrackless_v,,,,,,todo,,,,,,,,,,,,,,1,yes,,0.81,0.41,1,PhysicsHadronsTaus,DisplacedJet,L1_HTT360er OR L1_ETT2000
HLT_HT425_v,,todo,,,,todo,,,,,,,,,,,,,,2,yes,,1.22,0,512,PhysicsHadronsTaus,DisplacedJet,L1_HTT360er OR L1_ETT2000
HLT_HT400_DisplacedDijet40_DisplacedTrack_v,,todo,,,,todo,,,,,,,,,,,,,,2,yes,,1.63,0,4,PhysicsHadronsTaus,DisplacedJet,L1_HTT360er OR L1_ETT2000
HLT_CscCluster_Tight_v,,,,,,toto,,,,,,,,,,,,,,1,yes,,0,0,1,PhysicsHadronsTaus,DisplacedJet,L1_SingleMuShower_Nominal OR L1_SingleMuShower_Tight
HLT_CscCluster_Medium_v,,,,,,todo,,,,,,,,,,,,,,1,yes,,0,0,1,PhysicsHadronsTaus,DisplacedJet,L1_SingleMuShower_Nominal OR L1_SingleMuShower_Tight
HLT_CscCluster_Loose_v,,,,,,todo,,,,,,,,,,,,,,1,yes,,0,0,1,PhysicsHadronsTaus,DisplacedJet,L1_SingleMuShower_Nominal OR L1_SingleMuShower_Tight
HLT_CaloMET60_DTClusterNoMB1S50_v,,,,,,todo,,,,,,,,,,,,,,1,yes,,0,0,1,PhysicsHadronsTaus,DisplacedJet,L1_ETMHF100 OR L1_ETMHF110 OR L1_ETM150 OR L1_ETMHF120 OR L1_ETMHF150
HLT_CaloMET60_DTCluster50_v,,,,,,todo,,,,,,,,,,,,,,1,yes,,0,0,50,PhysicsHadronsTaus,DisplacedJet,L1_ETMHF100 OR L1_ETMHF110 OR L1_ETM150 OR L1_ETMHF120 OR L1_ETMHF150
HLT_TrkMu17_DoubleTrkMu8NoFiltersNoVtx_v,,,,,,,,,,,,,,,,,,,,0,yes,,3.67,0,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_5_SQ OR L1_DoubleMu_15_7 OR L1_TripleMu_5_3_3
HLT_TrkMu16_DoubleTrkMu6NoFiltersNoVtx_v,,,,,,,,,,,,,,,,,,,,0,yes,,4.48,0,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_5_SQ OR L1_DoubleMu_15_7 OR L1_TripleMu_5_3_3
HLT_TrkMu12_DoubleTrkMu5NoFiltersNoVtx_v,todo,,,,,,,,,,,,,,,,,,,1,yes,,5.7,0.41,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_5_SQ OR L1_DoubleMu_15_7 OR L1_TripleMu_5_3_3
HLT_TripleMu_5_3_3_Mass3p8_DZ_v,,,todo,todo,,,,,,,,,,,,,,,,2,yes,,12.63,4.48,1,PhysicsMuons,DoubleMuon,L1_TripleMu0 OR L1_TripleMu_5_5_3 OR L1_TripleMu_5_3_3 OR L1_TripleMu3_SQ
HLT_TripleMu_5_3_3_Mass3p8_DCA_v,,,,todo,,,,,,,,,,,,,,,,1,yes,,10.18,3.26,1,PhysicsMuons,DoubleMuon,L1_TripleMu0 OR L1_TripleMu_5_5_3 OR L1_TripleMu_5_3_3 OR L1_TripleMu3_SQ
HLT_TripleMu_12_10_5_v,todo,,todo,todo,todo,,,,,,,,,,,,,,,4,yes,,4.48,0,1,PhysicsMuons,DoubleMuon,L1_TripleMu0 OR L1_TripleMu_5_5_3 OR L1_TripleMu_5_3_3 OR L1_TripleMu3_SQ
HLT_TripleMu_10_5_5_DZ_v,todo,,todo,todo,todo,,,,,,,,,,,,,,,4,yes,,5.3,0.81,1,PhysicsMuons,DoubleMuon,L1_TripleMu0 OR L1_TripleMu_5_5_3 OR L1_TripleMu_5_3_3 OR L1_TripleMu3_SQ
HLT_Mu8_v,todo,,,todo,,,,,,,,todo,,,,,,,,3,yes,,8.55,2.44,32,PhysicsMuons,DoubleMuon,L1_SingleMu3 OR L1_SingleMu5 OR L1_SingleMu7
HLT_Mu8_TrkIsoVVL_v,todo,,todo,todo,todo,,,,,,,todo,,,,,,,,5,yes,,6.11,0,32,PhysicsMuons,DoubleMuon,L1_SingleMu3 OR L1_SingleMu5 OR L1_SingleMu7
HLT_Mu37_TkMu27_v,todo,,todo,todo,,,,todo,,,,todo,,,,,,,,5,yes,,16.7,1.22,1,PhysicsMuons,DoubleMuon,L1_SingleMu22 OR L1_SingleMu25
HLT_Mu23_Mu12_v,,,,,,,,,,,,,,,,,,,,0,yes,,0.81,0,20,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_7
HLT_Mu23_Mu12_SameSign_v,,,,,,,,,,,,,,,,,,,,0,yes,,1.63,0,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_7
HLT_Mu23_Mu12_SameSign_DZ_v,,,,,,,,,,,,,,,,,,,,0,yes,,1.63,0,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_7
HLT_Mu23_Mu12_DZ_v,,,,,,,,,,,,,,,,,,,,0,yes,,0.81,0,20,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_7
HLT_Mu20_Mu10_v,,,,,,,,,,,,,,,,,,,,0,yes,,0.41,0,40,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_7
HLT_Mu20_Mu10_SameSign_v,,,,,,,,,,,,,,,,,,,,0,yes,,6.52,0,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_7
HLT_Mu20_Mu10_SameSign_DZ_v,,,,,,,,,,,,,,,,,,,,0,yes,,6.11,0,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_7
HLT_Mu20_Mu10_DZ_v,,,,,,,,,,,,,,,,,,,,0,yes,,0.41,0,40,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_7
HLT_Mu19_v,,,,,,,,,,,,todo,,,,,,,,1,yes,,1.22,0,1,PhysicsMuons,DoubleMuon,L1_SingleMu15_DQ
HLT_Mu19_TrkIsoVVL_v,,,,,,,,,,,,todo,,,,,,,,1,yes,,0.81,0,1,PhysicsMuons,DoubleMuon,L1_SingleMu15_DQ
HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v,,,,,,,,,,,,todo,,,,,,,,1,yes,,2.04,0,20,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_7
HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v,,,,,,,,,,,,todo,,,,,,,,1,yes,,2.04,0,20,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_7
HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_Mass8_v,,,,,,,,,,,,todo,,,,,,,,1,yes,,25.66,0,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_7
HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_Mass3p8_v,,,,,,,,,,,,todo,,,,,,,,1,yes,,25.66,0,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_7
HLT_Mu18_Mu9_v,,,,,,,,,,,,,,,,,,,,0,yes,,1.22,0,40,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_7
HLT_Mu18_Mu9_SameSign_v,todo,,,,,,,,,,,,,,,,,,,1,yes,,7.33,0,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_7
HLT_Mu18_Mu9_SameSign_DZ_v,,,,,,,,,,,,,,,,,,,,0,yes,,6.93,0,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_7
HLT_Mu18_Mu9_DZ_v,,,,,,,,,,,,,,,,,,,,0,yes,,1.22,0,40,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_7
HLT_Mu17_v,todo,,todo,todo,,,,,,,,todo,,,,,,,,4,yes,,2.44,0.81,1,PhysicsMuons,DoubleMuon,L1_SingleMu15_DQ
HLT_Mu17_TrkIsoVVL_v,todo,,todo,,todo,,,,,,,todo,,,,,,,,4,yes,,1.22,0,1,PhysicsMuons,DoubleMuon,L1_SingleMu15_DQ
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v,todo,,todo,,todo,,,todo,,,,todo,,,,,,,,5,yes,,2.04,0,20,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_7
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v,todo,,todo,todo,todo,,,todo,,,,todo,,,,,alca,Express,,8,yes,,2.04,0,20,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_7
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass8_v,todo,,todo,,todo,,,todo,,,,todo,,,,,,,,5,yes,,26.48,0,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_7
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass3p8_v,todo,,todo,todo,todo,,,todo,,,,todo,,,,,,,,6,yes,,26.48,0,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_7
HLT_DoubleMu48NoFiltersNoVtx_v,,todo,,,,todo,,,,,,,,,,,,,,2,yes,,0.41,0,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_7
HLT_DoubleMu43NoFiltersNoVtx_v,,todo,,,,todo,,,,,,,,,,,,,,2,yes,,4.48,0,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_7
HLT_DoubleMu40NoFiltersNoVtxDisplaced_v,,,,,,,,,,,,,,,,,,,,0,yes,,0,0,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_7
HLT_DoubleMu4_Mass3p8_DZ_PFHT350_v,,,,todo,,,,,,,,,,,,,,,,1,yes,,5.7,1.63,1,PhysicsMuons,DoubleMuon,L1_DoubleMu3_SQ_HTT220er
HLT_DoubleMu3_DZ_PFMET90_PFMHT90_v,,,,done,,,,,,,,,,,,,,,,1,yes,,0.41,0,1,PhysicsMuons,DoubleMuon,L1_DoubleMu3_SQ_ETMHF50_HTT60er OR L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5_OR_DoubleJet40er2p5 OR L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5 OR L1_DoubleMu3_SQ_ETMHF60_Jet60er2p5
HLT_DoubleMu3_DZ_PFMET70_PFMHT70_v,,,,done,,,,,,,,,,,,,,,,1,yes,,2.85,0,1,PhysicsMuons,DoubleMuon,L1_DoubleMu3_SQ_ETMHF50_HTT60er OR L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5_OR_DoubleJet40er2p5 OR L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5 OR L1_DoubleMu3_SQ_ETMHF60_Jet60er2p5
HLT_DoubleMu3_DZ_PFMET50_PFMHT60_v,,,,done,,,,,,,,,,,,,,,,1,yes,,6.11,1.63,1,PhysicsMuons,DoubleMuon,L1_DoubleMu3_SQ_ETMHF50_HTT60er OR L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5_OR_DoubleJet40er2p5 OR L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5 OR L1_DoubleMu3_SQ_ETMHF60_Jet60er2p5
HLT_DoubleMu3_DCA_PFMET50_PFMHT60_v,,,,done,,,,,,,,,,,,,,,,1,yes,,8.15,0.81,1,PhysicsMuons,DoubleMuon,L1_DoubleMu3_SQ_ETMHF50_HTT60er OR L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5_OR_DoubleJet40er2p5 OR L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5 OR L1_DoubleMu3_SQ_ETMHF60_Jet60er2p5
HLT_DoubleL3Mu16_10NoVtx_DxyMin0p01cm_v,,todo,,,,,,,,,,,,,,,,,,1,yes,,16.7,8.15,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_15_5_SQ OR L1_DoubleMu_15_7 OR L1_TripleMu_5_3_3 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu0_Upt15_Upt7 OR L1_DoubleMu0_Upt6_IP_Min1_Upt4
